organism	domain	temperature
Actinobacillus capsulatus	Bacteria	37.0
Actinobacillus delphinicola	Bacteria	37.0
Actinobacillus equuli	Bacteria	37.0
Actinobacillus genomospecies	Bacteria	37.0
Actinobacillus hominis	Bacteria	34.0
Actinobacillus hominis	Bacteria	37.0
Actinobacillus indolicus	Bacteria	37.0
Actinobacillus lignieresii	Bacteria	37.0
Actinobacillus minor	Bacteria	37.0
Actinobacillus pleuropneumoniae	Bacteria	33.0
Actinobacillus pleuropneumoniae	Bacteria	37.0
Actinobacillus porcinus	Bacteria	37.0
Actinobacillus rossii	Bacteria	34.0
Actinobacillus rossii	Bacteria	37.0
Actinobacillus scotiae	Bacteria	37.0
Actinobacillus seminis	Bacteria	37.0
Actinobacillus sp.	Bacteria	37.0
Actinobacillus succinogenes	Bacteria	37.0
Actinobacillus suis	Bacteria	37.0
Actinobacillus ureae	Bacteria	37.0
Actinobacteria sp.	Bacteria	45.0
Actinobaculum lemanensis	None	37.0
Actinobaculum massiliense	Bacteria	37.0
Actinobaculum suis	Bacteria	37.0
Actinobaculum timonae	None	37.0
Actinocatenispora rupis	Bacteria	28.0
Actinocatenispora sera	Bacteria	28.0
Actinocatenispora thailandica	Bacteria	28.0
Actinocorallia aurantiaca	Bacteria	28.0
Actinocorallia aurea	Bacteria	28.0
Actinocorallia cavernae	Bacteria	28.0
Actinocorallia glomerata	Bacteria	28.0
Actinocorallia herbida	Bacteria	28.0
Actinocorallia lasiicapitis	Bacteria	21.0
Actinocorallia libanotica	Bacteria	28.0
Actinocorallia longicatena	Bacteria	28.0
Actinocrinis puniceicyclus	Bacteria	22.0
Actinocrispum wychmicini	Bacteria	27.0
Actinokineospora acnipugnans	Bacteria	33.0
Actinokineospora alba	Bacteria	28.0
Actinokineospora auranticolor	Bacteria	28.0
Actinokineospora baliensis	Bacteria	28.0
Actinokineospora bangkokensis	Bacteria	28.0
Actinokineospora cianjurensis	Bacteria	27.0
Actinokineospora cibodasensis	Bacteria	28.0
Actinokineospora diospyrosa	Bacteria	28.0
Actinokineospora enzanensis	Bacteria	28.0
Actinokineospora fastidiosa	Bacteria	28.0
Actinokineospora globicatena	Bacteria	28.0
Actinokineospora guangxiensis	Bacteria	28.0
Actinokineospora inagensis	Bacteria	28.0
Actinokineospora mzabensis	Bacteria	28.0
Actinokineospora riparia	Bacteria	28.0
Actinokineospora soli	Bacteria	28.0
Actinokineospora spheciospongiae	Bacteria	28.0
Actinokineospora terrae	Bacteria	28.0
Actinomadura adrarensis	Bacteria	30.0
Actinomadura alba	Bacteria	28.0
Actinomadura algeriensis	Bacteria	28.0
Actinomadura alkaliterrae	Bacteria	28.0
Actinomadura apis	Bacteria	28.0
Actinomadura atramentaria	Bacteria	28.0
Actinomadura bangladeshensis	Bacteria	28.0
Actinomadura barringtoniae	Bacteria	28.0
Actinomadura catellatispora	Bacteria	28.0
Actinomadura chibensis	Bacteria	37.0
Actinomadura chokoriensis	Bacteria	28.0
Actinomadura citrea	Bacteria	28.0
Actinomadura coerulea	Bacteria	28.0
Actinomadura craniellae	Bacteria	28.0
Actinomadura cremea	Bacteria	28.0
Actinomadura darangshiensis	Bacteria	28.0
Actinomadura fibrosa	Bacteria	33.0
Actinomadura flavalba	Bacteria	28.0
Actinomadura formosensis	Bacteria	37.0
Actinomadura fulvescens	Bacteria	40.0
Actinomadura gamaensis	Bacteria	28.0
Actinomadura geliboluensis	Bacteria	28.0
Actinomadura glauciflava	Bacteria	28.0
Actinomadura hallensis	Bacteria	28.0
Actinomadura hibisca	Bacteria	28.0
Actinomadura jiaoheensis	Bacteria	28.0
Actinomadura keratinilytica	Bacteria	45.0
Actinomadura kijaniata	Bacteria	28.0
Actinomadura latina	Bacteria	28.0
Actinomadura latina	Bacteria	37.0
Actinomadura livida	Bacteria	28.0
Actinomadura luteofluorescens	Bacteria	28.0
Actinomadura macra	Bacteria	28.0
Actinomadura madurae	Bacteria	28.0
Actinomadura madurae	Bacteria	30.0
Actinomadura madurae	Bacteria	37.0
Actinomadura meridiana	Bacteria	28.0
Actinomadura mexicana	Bacteria	28.0
Actinomadura meyerae	Bacteria	28.0
Actinomadura miaoliensis	Bacteria	40.0
Actinomadura montaniterrae	Bacteria	33.0
