organism	domain	temperature
Nakamurella flavida	Bacteria	25.0
Nakamurella intestinalis	Bacteria	20.0
Nakamurella lactea	Bacteria	28.0
Nakamurella multipartita	Bacteria	28.0
Nakamurella panacisegetis	Bacteria	25.0
Nakamurella silvestris	Bacteria	15.0
Namhaeicola litoreus	Bacteria	29.0
Nannocystis exedens	Bacteria	28.0
Nannocystis exedens	Bacteria	30.0
Nannocystis konarekensis	Bacteria	31.0
Nannocystis pusilla	Bacteria	28.0
Nannocystis pusilla	Bacteria	30.0
Nannocystis sp.	Bacteria	28.0
Natranaerobaculum magadiense	Bacteria	45.0
Natranaerobius thermophilus	Bacteria	50.0
Natranaerobius trueperi	Bacteria	50.0
Natranaerovirga hydrolytica	Bacteria	30.0
Natranaerovirga pectinivora	Bacteria	30.0
Natrialba aegyptia	Archaea	37.0
Natrialba asiatica	Archaea	37.0
Natrialba chahannaoensis	Archaea	37.0
Natrialba hulunbeirensis	Archaea	37.0
Natrialba magadii	Archaea	37.0
Natrialba sp.	Archaea	37.0
Natrialba taiwanensis	Archaea	37.0
Natribacillus halophilus	Bacteria	35.0
Natrinema ejinorense	Archaea	37.0
Natrinema gari	Archaea	40.0
Natrinema pallidum	Archaea	37.0
Natrinema pellirubrum	Archaea	37.0
Natrinema salaciae	Archaea	45.0
Natrinema soli	Archaea	40.0
Natrinema sp.	Archaea	50.0
Natrinema versiforme	Archaea	37.0
Natroniella acetigena	Bacteria	37.0
Natroniella sulfidigena	Bacteria	30.0
Natronincola ferrireducens	Bacteria	35.0
Natronincola histidinovorans	Bacteria	37.0
Natronincola peptidivorans	Bacteria	35.0
Natronincola sp.	Bacteria	30.0
Natronoarchaeum mannanilyticum	Archaea	38.0
Natronoarchaeum philippinense	Archaea	37.0
Natronobacterium gregoryi	Archaea	37.0
Natronobacterium texcoconense	Archaea	37.0
Natronococcus amylolyticus	Archaea	37.0
Natronococcus jeotgali	Archaea	37.0
Natronococcus occultus	Archaea	37.0
Natronococcus roseus	Archaea	37.0
Natronoflexus pectinivorans	Bacteria	30.0
Natronolimnobius aegyptiacus	Archaea	55.0
Natronomonas moolapensis	Archaea	37.0
Natronomonas pharaonis	Archaea	37.0
Natronorubrum aibiense	Archaea	35.0
Natronorubrum sediminis	Archaea	38.0
Natronorubrum sulfidifaciens	Archaea	38.0
Natronorubrum texcoconense	Archaea	37.0
Natronorubrum thiooxidans	Archaea	30.0
Natronorubrum tibetense	Archaea	37.0
Natronospira proteinivora	Bacteria	45.0
Natronotalea proteinilytica	Bacteria	46.0
Natronovirga wadinatrunensis	Bacteria	50.0
Naumannella cuiyingiana	Bacteria	29.0
Naumannella halotolerans	Bacteria	28.0
Naumannella halotolerans	Bacteria	37.0
Naumannella huperziae	Bacteria	30.0
Nautilia abyssi	Bacteria	60.0
Nautilia lithotrophica	Bacteria	55.0
Nautilia nitratireducens	Bacteria	45.0
Nautilia profundicola	Bacteria	40.0
Naxibacter insolentum	None	30.0
Necropsobacter rosorum	Bacteria	37.0
Negativicoccus succinicivorans	Bacteria	37.0
Neglecta timonensis	Bacteria	37.0
Neiella marina	None	28.0
Neisseria abscessus	None	37.0
Neisseria animalis	Bacteria	37.0
Neisseria animaloris	Bacteria	30.0
Neisseria animaloris	Bacteria	33.0
Neisseria animaloris	Bacteria	37.0
Neisseria arctica	Bacteria	21.0
Neisseria bacilliformis	Bacteria	37.0
Neisseria canis	Bacteria	37.0
Neisseria cinerea	Bacteria	30.0
Neisseria cinerea	Bacteria	37.0
Neisseria dentiae	Bacteria	37.0
Neisseria dumasiana	Bacteria	37.0
Neisseria elongata	Bacteria	30.0
Neisseria elongata	Bacteria	34.0
Neisseria elongata	Bacteria	35.0
Neisseria elongata	Bacteria	37.0
Neisseria flava	Bacteria	37.0
Neisseria flavescens	Bacteria	37.0
Neisseria gonorrhoeae	Bacteria	37.0
Neisseria lactamica	Bacteria	30.0
Neisseria lactamica	Bacteria	37.0
Neisseria macacae	Bacteria	37.0
Neisseria meningitidis	Bacteria	37.0
Neisseria meningitidis	None	37.0
Neisseria mucosa	Bacteria	30.0
Neisseria mucosa	Bacteria	36.0
Neisseria mucosa	Bacteria	37.0
Neisseria musculi	Bacteria	37.0
Neisseria oralis	Bacteria	37.0
Neisseria perflava	Bacteria	30.0
Neisseria perflava	Bacteria	37.0
Neisseria polysaccharea	Bacteria	37.0
Neisseria shayeganii	Bacteria	37.0
Neisseria sicca	Bacteria	30.0
Neisseria sicca	Bacteria	37.0
Neisseria sp.	Bacteria	30.0
Neisseria sp.	Bacteria	37.0
Neisseria subflava	Bacteria	30.0
Neisseria subflava	Bacteria	37.0
Neisseria wadsworthii	Bacteria	37.0
Neisseria weaveri	Bacteria	30.0
Neisseria weaveri	Bacteria	37.0
Neisseria zalophi	Bacteria	37.0
Neisseria zoodegmatis	Bacteria	30.0
Neisseria zoodegmatis	Bacteria	37.0
Neochlamydia sp.	Bacteria	25.0
Neocrorococcus lausannensis	None	30.0
Neomegalonema perideroedes	Bacteria	25.0
Neomicrococcus aestuarii	Bacteria	28.0
Neomicrococcus lactis	Bacteria	30.0
Neorhizobium alkalisoli	Bacteria	28.0
Neorhizobium galegae	Bacteria	30.0
Neorhizobium huautlense	Bacteria	28.0
Neorhizobium huautlense	Bacteria	30.0
Neoscardovia arbecensis	Bacteria	37.0
Neptunicella marina	Bacteria	26.0
Neptunicoccus sediminis	Bacteria	24.0
Neptuniibacter caesariensis	Bacteria	26.0
Neptuniibacter halophilus	Bacteria	29.0
Neptuniibacter marinus	Bacteria	28.0
Neptuniibacter pectenicola	Bacteria	25.0
Neptunomonas antarctica	Bacteria	20.0
Neptunomonas concharum	Bacteria	37.0
Neptunomonas japonica	Bacteria	20.0
Neptunomonas naphthovorans	Bacteria	20.0
Neptunomonas qingdaonensis	Bacteria	19.0
Nereida ignava	Bacteria	25.0
Nesiotobacter exalbescens	Bacteria	28.0
Nesterenkonia aethiopica	Bacteria	30.0
Nesterenkonia alba	Bacteria	37.0
Nesterenkonia aurantiaca	Bacteria	17.0
Nesterenkonia cremea	Bacteria	37.0
Nesterenkonia flava	Bacteria	37.0
Nesterenkonia halobia	Bacteria	28.0
Nesterenkonia halophila	Bacteria	28.0
Nesterenkonia halotolerans	Bacteria	28.0
Nesterenkonia jeotgali	Bacteria	28.0
Nesterenkonia lacusekhoensis	Bacteria	22.0
Nesterenkonia lacusekhoensis	Bacteria	30.0
Nesterenkonia lutea	Bacteria	28.0
Nesterenkonia massiliensis	Bacteria	30.0
Nesterenkonia pannonica	Bacteria	25.0
Nesterenkonia populi	Bacteria	28.0
Nesterenkonia sandarakina	Bacteria	28.0
Nesterenkonia sp.	Bacteria	28.0
Nesterenkonia sp.	Bacteria	37.0
Nesterenkonia suensis	Bacteria	30.0
Nesterenkonia xinjiangensis	Bacteria	28.0
Nevskia aquatilis	Bacteria	28.0
Nevskia persephonica	Bacteria	28.0
Nevskia ramosa	Bacteria	28.0
Nevskia ramosa	Bacteria	30.0
Nevskia soli	Bacteria	28.0
Nevskia terrae	Bacteria	28.0
Niabella aquatica	Bacteria	30.0
Niabella aurantiaca	Bacteria	28.0
Niabella drilacis	Bacteria	25.0
Niabella ginsengisoli	Bacteria	20.0
Niabella hibiscisoli	Bacteria	22.0
Niabella hirudinis	Bacteria	25.0
Niabella pedocola	Bacteria	28.0
Niabella soli	Bacteria	37.0
Niabella sp.	Bacteria	28.0
Niameybacter massiliensis	Bacteria	37.0
Niastella hibisci	Bacteria	25.0
Niastella koreensis	Bacteria	28.0
Niastella populi	Bacteria	27.0
Niastella vici	Bacteria	31.0
Niastella yeongjuensis	Bacteria	28.0
Nibrella saemangeumensis	Bacteria	26.0
Nibrella viscosa	Bacteria	26.0
Nibribacter koreensis	Bacteria	26.0
Nicoletella semolina	Bacteria	37.0
Nioella aestuarii	Bacteria	22.0
Nioella sediminis	Bacteria	28.0
Nisaea denitrificans	Bacteria	30.0
Nisaea nitritireducens	Bacteria	30.0
Nitratifractor salsuginis	Bacteria	37.0
Nitratireductor aestuarii	Bacteria	30.0
Nitratireductor aquibiodomus	Bacteria	28.0
Nitratireductor basaltis	Bacteria	30.0
Nitratireductor indicus	Bacteria	27.0
Nitratireductor kimnyeongensis	Bacteria	28.0
Nitratireductor lacus	Bacteria	28.0
Nitratireductor lucknowense	Bacteria	25.0
Nitratireductor sp.	Bacteria	28.0
Nitratireductor sp.	Bacteria	30.0
Nitratiruptor tergarcus	Bacteria	55.0
Nitriliruptor alkaliphilus	Bacteria	28.0
Nitrincola alkalilacustris	Bacteria	24.0
Nitrincola alkalisediminis	Bacteria	37.0
Nitrincola lacisaponensis	Bacteria	28.0
Nitrincola schmidtii	Bacteria	19.0
Nitrincola sp.	Bacteria	34.0
Nitrincola sp.	Bacteria	36.0
Nitritalea halalkaliphila	Bacteria	37.0
Nitrobacter hamburgensis	Bacteria	28.0
Nitrobacter vulgaris	Bacteria	28.0
Nitrobacter winogradskyi	Bacteria	28.0
Nitrosomonas communis	Bacteria	28.0
Nitrosomonas europaea	Bacteria	28.0
Nitrosomonas eutropha	Bacteria	28.0
Nitrosomonas nitrosa	Bacteria	28.0
Nitrosopumilus adriaticus	Archaea	30.0
Nitrosopumilus maritimus	Archaea	25.0
Nitrosopumilus piranensis	Archaea	30.0
Nitrososphaera viennensis	Archaea	42.0
Nitrosospira multiformis	Bacteria	28.0
Nitrospira sp.	Bacteria	37.0
Nitrospirillum amazonense	Bacteria	30.0
Nitrospirillum iridis	Bacteria	30.0
Niveibacterium umoris	Bacteria	24.0
Niveispirillum irakense	Bacteria	30.0
Niveispirillum lacus	Bacteria	26.0
Niveitalea solisilvae	Bacteria	28.0
Nocardia abscessus	Bacteria	28.0
Nocardia abscessus	Bacteria	37.0
Nocardia aciditolerans	Bacteria	28.0
Nocardia acidivorans	Bacteria	28.0
Nocardia africana	Bacteria	28.0
Nocardia alba	Bacteria	28.0
Nocardia albiflava	Bacteria	28.0
Nocardia altamirensis	Bacteria	28.0
Nocardia amamiensis	Bacteria	28.0
Nocardia amikacinitolerans	Bacteria	28.0
Nocardia anaemiae	Bacteria	28.0
Nocardia aobensis	Bacteria	28.0
Nocardia araoensis	Bacteria	28.0
Nocardia arizonensis	Bacteria	28.0
Nocardia artemisiae	Bacteria	28.0
Nocardia arthritidis	Bacteria	28.0
Nocardia asiatica	Bacteria	28.0
Nocardia asteroides	Bacteria	28.0
Nocardia asteroides	Bacteria	30.0
Nocardia asteroides	Bacteria	33.0
Nocardia asteroides	Bacteria	37.0
Nocardia beijingensis	Bacteria	28.0
Nocardia beijingensis	Bacteria	37.0
Nocardia bhagyanarayanae	Bacteria	28.0
Nocardia blacklockiae	Bacteria	28.0
Nocardia brasiliensis	Bacteria	28.0
Nocardia brasiliensis	Bacteria	30.0
Nocardia brasiliensis	Bacteria	37.0
Nocardia brevicatena	Bacteria	28.0
Nocardia caishijiensis	Bacteria	28.0
Nocardia callitridis	Bacteria	28.0
Nocardia camponoti	Bacteria	23.0
Nocardia carnea	Bacteria	28.0
Nocardia carnea	Bacteria	30.0
Nocardia casuarinae	Bacteria	28.0
Nocardia cavernae	Bacteria	20.0
Nocardia cerradoensis	Bacteria	28.0
Nocardia coeliaca	Bacteria	37.0
Nocardia concava	Bacteria	28.0
Nocardia coubleae	Bacteria	28.0
Nocardia crassostreae	Bacteria	28.0
Nocardia cyriacigeorgica	Bacteria	28.0
Nocardia cyriacigeorgica	Bacteria	34.0
Nocardia cyriacigeorgica	Bacteria	37.0
Nocardia devorans	Bacteria	28.0
Nocardia diaphanozonaria	None	30.0
Nocardia donostiensis	Bacteria	28.0
Nocardia elegans	Bacteria	28.0
Nocardia endophytica	Bacteria	28.0
Nocardia exalbida	Bacteria	28.0
Nocardia farcinica	Bacteria	28.0
Nocardia farcinica	Bacteria	30.0
Nocardia farcinica	Bacteria	37.0
Nocardia flavorosea	Bacteria	28.0
Nocardia fluminea	Bacteria	28.0
Nocardia fusca	None	30.0
Nocardia gamkensis	Bacteria	28.0
Nocardia globerula	Bacteria	28.0
Nocardia globerula	Bacteria	30.0
Nocardia goodfellowii	Bacteria	28.0
Nocardia grenadensis	Bacteria	37.0
Nocardia harenae	Bacteria	28.0
Nocardia heshunensis	Bacteria	27.0
Nocardia higoensis	Bacteria	28.0
Nocardia ignorata	Bacteria	28.0
Nocardia ignorata	Bacteria	30.0
Nocardia ignorata	Bacteria	34.0
Nocardia inohanensis	Bacteria	28.0
Nocardia inohanensis	Bacteria	30.0
Nocardia inohanensis	Bacteria	37.0
Nocardia iowensis	Bacteria	28.0
Nocardia jejuensis	Bacteria	28.0
Nocardia jiangsuensis	Bacteria	24.0
Nocardia jiangxiensis	Bacteria	28.0
Nocardia jinanensis	Bacteria	28.0
Nocardia kroppenstedtii	Bacteria	28.0
Nocardia kruczakiae	Bacteria	28.0
Nocardia lasii	Bacteria	28.0
Nocardia leishmanii	None	30.0
Nocardia lijiangensis	Bacteria	28.0
Nocardia lucida	None	25.0
Nocardia marmarensis	None	37.0
Nocardia mexicana	Bacteria	28.0
Nocardia mikamii	Bacteria	28.0
Nocardia miyunensis	Bacteria	28.0
Nocardia neocaledoniensis	Bacteria	29.0
Nocardia niigatensis	Bacteria	28.0
Nocardia ninae	Bacteria	28.0
Nocardia niwae	Bacteria	37.0
Nocardia nova	Bacteria	28.0
Nocardia nova	Bacteria	30.0
Nocardia nova	Bacteria	37.0
Nocardia novocastrense	Bacteria	28.0
Nocardia otitidiscaviarum	Bacteria	28.0
Nocardia otitidiscaviarum	Bacteria	30.0
Nocardia otitidiscaviarum	Bacteria	33.0
Nocardia otitidiscaviarum	Bacteria	37.0
Nocardia paraguayensis	None	30.0
Nocardia paucivorans	Bacteria	28.0
Nocardia paucivorans	Bacteria	37.0
Nocardia pigrifrangens	Bacteria	27.0
Nocardia pneumoniae	Bacteria	28.0
Nocardia polyresistens	Bacteria	28.0
Nocardia pseudobrasiliensis	Bacteria	30.0
Nocardia pseudobrasiliensis	Bacteria	37.0
Nocardia pseudosporangifera	None	30.0
Nocardia pseudovaccinii	Bacteria	28.0
Nocardia puris	Bacteria	28.0
Nocardia rayongensis	Bacteria	29.0
Nocardia rhamnosiphila	Bacteria	28.0
Nocardia rhizosphaerae	Bacteria	28.0
Nocardia rhizosphaerihabitans	Bacteria	28.0
Nocardia salmonicida	Bacteria	28.0
Nocardia salmonicida	Bacteria	30.0
Nocardia salmonicolor	None	30.0
Nocardia seriolae	Bacteria	28.0
Nocardia seriolae	Bacteria	30.0
Nocardia shimofusensis	Bacteria	28.0
Nocardia shinanonensis	Bacteria	45.0
Nocardia sienata	Bacteria	28.0
Nocardia sp.	Bacteria	25.0
Nocardia sp.	Bacteria	28.0
Nocardia sp.	Bacteria	30.0
Nocardia sp.	Bacteria	34.0
Nocardia sp.	Bacteria	37.0
Nocardia speluncae	Bacteria	28.0
Nocardia sungurluensis	Bacteria	28.0
Nocardia takedensis	Bacteria	28.0
Nocardia tenerifensis	Bacteria	28.0
Nocardia tengchongensis	Bacteria	28.0
Nocardia tenuis	None	30.0
Nocardia terpenica	Bacteria	28.0
Nocardia testacea	Bacteria	28.0
Nocardia thailandica	Bacteria	28.0
Nocardia thraciensis	Bacteria	28.0
Nocardia transvalensis	Bacteria	30.0
Nocardia transvalensis	Bacteria	34.0
Nocardia transvalensis	Bacteria	37.0
Nocardia tsunamiensis	Bacteria	28.0
Nocardia uniformis	Bacteria	28.0
Nocardia vaccinii	Bacteria	28.0
Nocardia vaccinii	Bacteria	30.0
Nocardia vermiculata	Bacteria	28.0
Nocardia veterana	Bacteria	28.0
Nocardia veterana	Bacteria	30.0
Nocardia veterana	Bacteria	37.0
Nocardia veterana	Bacteria	40.0
Nocardia vinacea	Bacteria	28.0
Nocardia violaceofusca	None	30.0
Nocardia vulneris	Bacteria	37.0
Nocardia wallacei	Bacteria	28.0
Nocardia xestospongiae	Bacteria	30.0
Nocardia xishanensis	Bacteria	28.0
Nocardia yamanashiensis	Bacteria	28.0
Nocardia yunnanensis	Bacteria	28.0
Nocardia zapadnayensis	Bacteria	28.0
Nocardia zhihengii	Bacteria	28.0
Nocardioides aestuarii	Bacteria	28.0
Nocardioides agariphilus	Bacteria	28.0
Nocardioides agrisoli	Bacteria	31.0
Nocardioides albertanoniae	Bacteria	28.0
Nocardioides albidus	Bacteria	28.0
Nocardioides albus	Bacteria	28.0
Nocardioides albus	Bacteria	30.0
Nocardioides alkalitolerans	Bacteria	30.0
Nocardioides alpinus	Bacteria	20.0
Nocardioides antarcticus	Bacteria	20.0
Nocardioides aquaticus	Bacteria	20.0
Nocardioides aquiterrae	Bacteria	28.0
Nocardioides aromaticivorans	Bacteria	28.0
Nocardioides baekrokdamisoli	Bacteria	15.0
Nocardioides bigeumensis	Bacteria	28.0
Nocardioides caeni	Bacteria	28.0
Nocardioides caricicola	Bacteria	30.0
Nocardioides cavernae	Bacteria	20.0
Nocardioides conyzicola	Bacteria	27.5
Nocardioides daecheongensis	Bacteria	28.0
Nocardioides daedukensis	Bacteria	28.0
Nocardioides daeguensis	Bacteria	34.0
Nocardioides daejeonensis	Bacteria	28.0
Nocardioides daphniae	Bacteria	28.0
Nocardioides deserti	Bacteria	28.0
Nocardioides dilutus	Bacteria	28.0
Nocardioides dokdonensis	Bacteria	28.0
Nocardioides dubius	Bacteria	28.0
Nocardioides endophyticus	Bacteria	24.0
Nocardioides exalbidus	Bacteria	28.0
Nocardioides flavus	Bacteria	22.0
Nocardioides fonticola	Bacteria	31.0
Nocardioides furvisabuli	Bacteria	28.0
Nocardioides ganghwensis	Bacteria	28.0
Nocardioides ginkgobilobae	Bacteria	32.0
Nocardioides ginsengagri	Bacteria	28.0
Nocardioides ginsengisegetis	Bacteria	28.0
Nocardioides ginsengisoli	Bacteria	28.0
Nocardioides halotolerans	Bacteria	28.0
Nocardioides hankookensis	Bacteria	28.0
Nocardioides houyundeii	Bacteria	28.0
Nocardioides humi	Bacteria	28.0
Nocardioides hungaricus	Bacteria	28.0
Nocardioides hwasunensis	Bacteria	28.0
Nocardioides immobilis	Bacteria	24.0
Nocardioides insulae	Bacteria	28.0
Nocardioides intraradicalis	Bacteria	23.0
Nocardioides iriomotensis	Bacteria	28.0
Nocardioides islandensis	Bacteria	28.0
Nocardioides jensenii	Bacteria	30.0
Nocardioides kandeliae	Bacteria	23.0
Nocardioides kongjuensis	Bacteria	28.0
Nocardioides koreensis	Bacteria	28.0
Nocardioides kribbensis	Bacteria	28.0
Nocardioides lentus	Bacteria	28.0
Nocardioides lianchengensis	Bacteria	28.0
Nocardioides litoris	Bacteria	28.0
Nocardioides litorisoli	Bacteria	27.0
Nocardioides luteus	Bacteria	28.0
Nocardioides luteus	Bacteria	30.0
Nocardioides maradonensis	Bacteria	28.0
Nocardioides marinisabuli	Bacteria	28.0
Nocardioides marinquilinus	Bacteria	23.0
Nocardioides marinus	Bacteria	28.0
Nocardioides massiliensis	Bacteria	30.0
Nocardioides mesophilus	Bacteria	28.0
Nocardioides nitrophenolicus	Bacteria	30.0
Nocardioides oleivorans	Bacteria	28.0
Nocardioides opuntiae	Bacteria	28.0
Nocardioides pacificus	Bacteria	28.0
Nocardioides pakistanensis	Bacteria	28.0
Nocardioides panacihumi	Bacteria	28.0
Nocardioides panacisoli	Bacteria	28.0
Nocardioides panaciterrulae	Bacteria	28.0
Nocardioides panzhihuensis	Bacteria	28.0
Nocardioides pelophilus	Bacteria	25.0
Nocardioides perillae	Bacteria	28.0
Nocardioides phosphati	Bacteria	21.0
Nocardioides plantarum	Bacteria	28.0
Nocardioides psychrotolerans	Bacteria	20.0
Nocardioides pyridinolyticus	Bacteria	37.0
Nocardioides rotundus	Bacteria	28.0
Nocardioides rubriscoriae	Bacteria	28.0
Nocardioides salarius	Bacteria	28.0
Nocardioides salsibiostraticola	Bacteria	15.0
Nocardioides sambongensis	Bacteria	28.0
Nocardioides sediminis	Bacteria	28.0
Nocardioides simplex	Bacteria	30.0
Nocardioides soli	Bacteria	28.0
Nocardioides sonneratiae	Bacteria	24.0
Nocardioides sp.	Bacteria	28.0
Nocardioides sp.	Bacteria	30.0
Nocardioides szechwanensis	Bacteria	28.0
Nocardioides terrae	Bacteria	28.0
Nocardioides terrigena	Bacteria	28.0
Nocardioides thalensis	Bacteria	31.0
Nocardioides tritolerans	Bacteria	28.0
Nocardioides ultimimeridianus	Bacteria	28.0
Nocardioides zeae	Bacteria	28.0
Nocardioides zeicaulis	Bacteria	30.0
Nocardiopsis aegyptia	Bacteria	28.0
Nocardiopsis akesuensis	Bacteria	38.0
Nocardiopsis alba	Bacteria	28.0
Nocardiopsis algeriensis	Bacteria	28.0
Nocardiopsis alkaliphila	Bacteria	28.0
Nocardiopsis ansamitocini	Bacteria	33.0
Nocardiopsis arabicus	Bacteria	28.0
Nocardiopsis arvandica	Bacteria	28.0
Nocardiopsis buerjinensis	Bacteria	28.0
Nocardiopsis chakaensis	Bacteria	28.0
Nocardiopsis chromatogenes	Bacteria	28.0
Nocardiopsis composta	Bacteria	28.0
Nocardiopsis composta	Bacteria	30.0
Nocardiopsis composta	Bacteria	42.0
Nocardiopsis coralliicola	Bacteria	28.0
Nocardiopsis dassonvillei	Bacteria	28.0
Nocardiopsis dassonvillei	Bacteria	37.0
Nocardiopsis exhalans	Bacteria	28.0
Nocardiopsis fildesensis	Bacteria	28.0
Nocardiopsis flavescens	Bacteria	35.0
Nocardiopsis flavidus	Bacteria	28.0
Nocardiopsis fragmentaris	Bacteria	28.0
Nocardiopsis ganjiahuensis	Bacteria	28.0
Nocardiopsis gilva	Bacteria	28.0
Nocardiopsis halophila	Bacteria	28.0
Nocardiopsis halotolerans	Bacteria	28.0
Nocardiopsis kunsanensis	Bacteria	37.0
Nocardiopsis listeri	Bacteria	28.0
Nocardiopsis litoralis	Bacteria	28.0
Nocardiopsis lucentensis	Bacteria	28.0
Nocardiopsis metallicus	Bacteria	28.0
Nocardiopsis mwathae	Bacteria	28.0
Nocardiopsis nikkonensis	Bacteria	28.0
Nocardiopsis oceani	Bacteria	28.0
Nocardiopsis potens	Bacteria	28.0
Nocardiopsis prasina	Bacteria	28.0
Nocardiopsis quinghaiensis	Bacteria	28.0
Nocardiopsis rampartis	Bacteria	28.0
Nocardiopsis rhizosphaerae	Bacteria	30.0
Nocardiopsis rhodophaea	Bacteria	28.0
Nocardiopsis rosea	Bacteria	28.0
Nocardiopsis salina	Bacteria	28.0
Nocardiopsis sediminis	Bacteria	27.0
Nocardiopsis sinuspersici	Bacteria	28.0
Nocardiopsis sp.	Bacteria	28.0
Nocardiopsis sp.	Bacteria	37.0
Nocardiopsis streptosporeus	Bacteria	28.0
Nocardiopsis synnemataformans	Bacteria	28.0
Nocardiopsis synnemataformans	Bacteria	37.0
Nocardiopsis tangguensis	Bacteria	28.0
Nocardiopsis terrae	Bacteria	28.0
Nocardiopsis trehalosi	Bacteria	28.0
Nocardiopsis tropica	Bacteria	28.0
Nocardiopsis umidischolae	Bacteria	28.0
Nocardiopsis valliformis	Bacteria	28.0
Nocardiopsis xinjiangensis	Bacteria	28.0
Nocardiopsis yanqiensis	Bacteria	28.0
Nodularia sp.	Bacteria	18.0
None	Bacteria	25.0
None	Bacteria	28.0
None	Bacteria	30.0
None	Bacteria	32.0
None	Bacteria	35.0
None	Bacteria	45.0
None	None	55.0
Nonlabens aestuariivivens	Bacteria	30.0
Nonlabens arenilitoris	Bacteria	30.0
Nonlabens dokdonensis	Bacteria	25.0
Nonlabens halophilus	Bacteria	24.0
Nonlabens sediminis	Bacteria	25.0
Nonlabens spongiae	Bacteria	28.0
Nonlabens tegetincola	Bacteria	28.0
Nonlabens ulvanivorans	Bacteria	20.0
Nonlabens xylanidelens	Bacteria	28.0
Nonomuraea africana	Bacteria	30.0
Nonomuraea angiospora	Bacteria	37.0
Nonomuraea antimicrobica	Bacteria	28.0
Nonomuraea asiatica	Bacteria	28.0
Nonomuraea bangladeshensis	Bacteria	28.0
Nonomuraea candida	Bacteria	28.0
Nonomuraea cavernae	Bacteria	28.0
Nonomuraea ceibae	Bacteria	30.0
Nonomuraea coxensis	Bacteria	28.0
Nonomuraea dietziae	Bacteria	28.0
Nonomuraea endophytica	Bacteria	28.0
Nonomuraea fastidiosa	Bacteria	28.0
Nonomuraea ferruginea	Bacteria	28.0
Nonomuraea flavida	Bacteria	28.0
Nonomuraea fuscirosea	Bacteria	28.0
Nonomuraea gerenzanensis	Bacteria	31.0
Nonomuraea glycinis	Bacteria	24.0
Nonomuraea guangzhouensis	Bacteria	28.0
Nonomuraea harbinensis	Bacteria	28.0
Nonomuraea helvata	Bacteria	28.0
Nonomuraea indica	Bacteria	28.0
Nonomuraea insulae	Bacteria	28.0
Nonomuraea jabiensis	Bacteria	28.0
Nonomuraea jiangxiensis	Bacteria	28.0
Nonomuraea kuesteri	Bacteria	28.0
Nonomuraea latina	Bacteria	28.0
Nonomuraea longicatena	Bacteria	28.0
Nonomuraea lycopersici	Bacteria	28.0
Nonomuraea maheshkhaliensis	Bacteria	28.0
Nonomuraea maritima	Bacteria	28.0
Nonomuraea monospora	Bacteria	28.0
Nonomuraea muscovyensis	Bacteria	28.0
Nonomuraea polychroma	Bacteria	28.0
Nonomuraea purpurea	Bacteria	25.0
Nonomuraea pusilla	Bacteria	28.0
Nonomuraea pusilla	Bacteria	37.0
Nonomuraea recticatena	Bacteria	28.0
Nonomuraea rhizophila	Bacteria	28.0
Nonomuraea rosea	Bacteria	28.0
Nonomuraea roseola	Bacteria	28.0
Nonomuraea roseola	Bacteria	30.0
Nonomuraea roseoviolacea	Bacteria	28.0
Nonomuraea rubra	Bacteria	30.0
Nonomuraea salmonea	Bacteria	30.0
Nonomuraea shaanxiensis	Bacteria	28.0
Nonomuraea solani	Bacteria	28.0
Nonomuraea soli	Bacteria	28.0
Nonomuraea sp.	Bacteria	28.0
Nonomuraea spiralis	Bacteria	30.0
Nonomuraea stahlianthi	Bacteria	34.0
Nonomuraea terrinata	Bacteria	28.0
Nonomuraea thailandensis	Bacteria	28.0
Nonomuraea thermotolerans	Bacteria	43.0
Nonomuraea turkmeniaca	Bacteria	37.0
Nonomuraea wenchangensis	Bacteria	28.0
Nonomuraea zeae	Bacteria	25.0
Nosocomiicoccus ampullae	Bacteria	30.0
Nosocomiicoccus ampullae	Bacteria	37.0
Nosocomiicoccus massiliensis	Bacteria	37.0
Nostoc punctiforme	Bacteria	18.0
Nostoc sp.	Bacteria	18.0
Nostoc sp.	Bacteria	23.0
Notoacmeibacter marinus	Bacteria	26.0
Noviherbaspirillum aurantiacum	Bacteria	28.0
Noviherbaspirillum autotrophicum	Bacteria	30.0
Noviherbaspirillum canariense	Bacteria	28.0
Noviherbaspirillum denitrificans	Bacteria	30.0
Noviherbaspirillum malthae	Bacteria	30.0
Noviherbaspirillum massiliense	Bacteria	37.0
Noviherbaspirillum psychrotolerans	Bacteria	20.0
Noviherbaspirillum soli	Bacteria	28.0
Noviherbaspirillum sp.	Bacteria	28.0
Novispirillum itersonii	Bacteria	30.0
Novosphingobium acidiphilum	Bacteria	28.0
Novosphingobium aquaticum	Bacteria	28.0
Novosphingobium aromaticivorans	Bacteria	30.0
Novosphingobium barchaimii	Bacteria	28.0
Novosphingobium bradum	Bacteria	23.0
Novosphingobium capsulatum	Bacteria	26.0
Novosphingobium chloroacetimidivorans	Bacteria	28.0
Novosphingobium clariflavum	Bacteria	28.0
Novosphingobium colocasiae	Bacteria	24.0
Novosphingobium endophyticum	Bacteria	28.0
Novosphingobium flavum	Bacteria	24.0
Novosphingobium fluoreni	Bacteria	28.0
Novosphingobium fontis	Bacteria	26.0
Novosphingobium fuchskuhlense	Bacteria	28.0
Novosphingobium gossypii	Bacteria	30.0
